"Word","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean"
"BEADWORK",0.812,0,2.25,0.312,0.062,3.375
"BEADY",0.214,0.071,1.429,0.286,0,3.714
"BEAGLE",3.889,0.278,2.889,0.056,1.722,4.444
"BEAK",0.312,0,1.625,0,0,3.375
"BEAKER",0.778,0.222,3.111,0.5,0.5,3.778
"BEAKLIKE",0.533,0.067,1.333,0.333,0.133,4.133
"BEAM",0.176,0,1.588,0.176,0,3.588
"BEAMED",1.8,0.533,0.6,1.467,0.6,4
"BEAMING",1.176,0.059,0.176,1.235,0.235,3.588
"BEAMINGLY",1.125,0.25,0.5,0.625,0.312,2.938
"BEAMLIKE",0.211,0.158,0.947,0.263,0.316,3
"BEAN",0.222,3.778,1.889,0.167,1.278,3.111
"BEANBAG",1.579,0.053,3.684,0.105,0.158,4.158
"BEANBAGS",0.895,0,3.684,0.316,0,4.053
"BEANIE",0.353,0.059,3.765,0.059,0.294,4
"BEANPOLE",0.357,0.286,1.429,0.071,0.429,3.357
"BEANSTALK",0.316,0.579,1.632,0.263,0.684,3.684
"BEAR",3.263,0.368,1.526,0.368,0.632,4.316
"BEARABLE",1.167,0.5,0.556,2.556,0.722,0.722
"BEARABLY",1.882,0.588,0.706,2.647,0.588,2.176
"BEARD",0.1,0,3.35,0.05,0.05,4.35
"BEARDED",0.056,0,2.667,0.222,0.111,4.278
"BEARDLESS",0.278,0.167,3,0.111,0.111,4.389
"BEARER",2.125,0.062,0.438,0.438,0.062,3.062
"BEARING",1.533,0.533,1.6,0.8,0.467,3.533
"BEARINGS",1.25,0.542,2.083,2.583,0.708,2.708
"BEARISH",1.562,0.062,1.062,2.25,0.125,2.375
"BEARISHLY",1.938,0.188,0.625,1.188,0.062,2.438
"BEARISHNESS",2.154,0,0.385,0.385,0.231,2.385
"BEARLIKE",1.55,0.05,0.85,0.8,0.35,3.6
"BEARSKIN",0.188,0,3.125,0,0.062,3.188
"BEAST",2.105,0.263,1.158,1.053,1.105,3
"BEASTLIKE",2.471,0.176,0.941,1.059,0.529,3.824
"BEASTLINESS",1.389,0,0.722,0.722,0.111,2.556
"BEASTLY",2.526,0.263,0.895,1.421,0.947,3.421
"BEAT",3.8,0.15,0.9,1.55,0.1,2
"BEATABLE",1.625,0.188,1,1.062,0.25,2.812
"BEATEN",1.235,0.294,2.176,2.353,0.294,3.529
"BEATER",1.692,0.231,1.923,0.538,0,2.923
"BEATING",2.263,0.421,3,2.737,0.421,2.842
"BEAU",2.1,1,2.4,1.4,1.1,3.4
"BEAUTICIAN",2.125,0,1.438,0,0,4.188
"BEAUTIFICATION",1,0,0.947,0.789,0.632,4.316
"BEAUTIFIER",0.2,0,0.6,0.6,0.133,2.067
"BEAUTIFUL",2.286,0.476,0.952,2.19,0.476,4.571
"BEAUTIFULLY",2.1,0.85,0.95,1.3,0.75,3.75
"BEAUTIFULNESS",2.778,1.056,2.278,1.944,2.111,4.667
"BEAUTIFY",1.118,0.412,0.471,1.647,0.706,4.706
"BEAUTY",1.833,0.278,1.278,1.444,0.444,4.889
"BEAUTY QUEEN",1.824,0.059,1.118,0.235,0.294,3.765
"BEAUTY SALON",1.632,0,1.368,0.263,1.526,3.842
"BEAUTY SHOP",1.684,0,1.211,0.526,1.158,4.158
"BEAVER",1.629,0.086,1.286,0.029,0.486,4.171
"BEBOP",4,0,0.455,1.091,0,0.727
"BECAUSE",1.421,0.053,0.053,0.632,0.053,0.684
"BECKON",2.312,0.125,0.312,0.375,0.062,2.625
"BECKONING",3.412,0.118,0.529,1.176,0.176,3
"BECOME",1.556,0.222,0.389,1.667,0.222,2.889
"BECOMES",0.941,0,0.294,0.882,0,2.294
"BECOMING",1.062,0.5,0.688,2.688,0.562,1.438
"BECOMINGLY",0.273,0.091,0.364,1.455,0.182,1.455
"BED",0.895,0.263,4.421,1.474,0.842,4.105
"BED LINEN",0.842,0.211,3.842,0.684,1.211,3.895
"BED SHEET",0.368,0,3.579,0.105,1.053,4.579
"BEDAZZLE",0.688,0,1.688,0.688,0,3.688
"BEDAZZLEMENT",1.571,0.214,0.286,1.357,0.571,3.214
"BEDAZZLING",0.714,0.19,1.381,0.952,0.19,4.19
"BEDBUG",0.111,0,2.056,0.944,0,3.333
"BEDCHAMBER",0.278,0.056,2,0.222,0.833,4
"BEDCLOTHES",0.647,0,3.059,0.176,0.529,3.118
"BEDCOVER",0.35,0,3.75,0.45,0.3,4.05
"BEDDED",0.9,0.2,2.25,1.05,0.45,2.35
"BEDDING",0.696,0.304,4.391,1.478,1.478,4.391
"BEDFELLOW",3,1,3,1.375,1.438,3.938
"BEDMATE",2.053,0.842,2.684,1,1.158,4
"BEDPAN",0.611,0,2.333,0.333,1.667,3.889
"BEDPOST",0.2,0,2.4,0.2,0,3.933
"BEDRAIL",0.059,0,3.353,0,0,3.941
"BEDRIDDEN",0.647,0,0.353,1.176,0.176,3.235
"BEDROCK",0.562,0.375,2.5,0.25,0.5,4.25
"BEDROLL",0.533,0,3,0.467,0.467,3.467
"BEDROOM",1,0.294,2.412,1.059,0.941,4.529
"BEDSHEET",0.238,0.19,4.381,0.762,0.429,3.286
"BEDSIDE",0.353,0,1.647,0.176,0.059,4.059
"BEDSORE",0.111,0,2.556,2.111,0.167,3
"BEDSPREAD",0.235,0,3.941,0.647,0.529,4.353
"BEDSPRING",1.9,0,3.75,0.4,0,2.9
"BEDTIME",0.333,0,0.933,3.467,0,0.867
"BEE",2.778,0,0.611,0.278,0,4.5
"BEE STING",0.158,0,3.421,3.263,0.053,2.579
"BEECH",0.5,0.167,1.167,0,0.75,3.167
"BEECHNUT",0.444,3.222,2.167,0.222,1.778,3.833
"BEEF",0.444,4.667,1.778,0.667,3.667,4.222
"BEEF UP",0.467,0.933,1.533,2.267,0.333,1.733
"BEEFBURGER",0.412,3.765,2.118,1.059,2.765,3.059
"BEEFCAKE",0.933,1.333,2.267,0.8,1.133,4.067
"BEEFINESS",0.176,1.176,1.529,0.706,0.647,2.706
"BEEFSTEAK",0.667,3.889,1.667,1.167,3.167,3.5
"BEEFY",0.632,2.474,2.474,1.158,1.737,2.947
"BEEHIVE",2.105,0.474,1,0.316,0.895,3.895
"BEEKEEPER",1.895,0,0.947,0.158,0.105,4.158
"BEEKEEPING",2.188,0.312,1.75,0.375,1.438,4.125
"BEELIKE",1.562,0.188,0.688,0.5,0.188,3.25
"BEELINE",0.294,0,0.235,0.294,0.059,3.353
"BEEN",0.794,0.088,0.294,1.088,0.147,1.265
"BEEP",4.765,0,0.412,0.294,0,0.529
"BEEPER",3.864,0.136,1.636,0.455,0.091,2.364
"BEER",0.895,4.526,1.789,2,3.737,3.421
"BEER BELLY",0.4,0.25,2.7,0.95,0.25,4.65
"BEER BOTTLE",1.2,2.7,2.85,1.15,2,3.4
"BEER CAN",1.312,1.375,3.188,0.312,0.75,3.375
"BEERHOUSE",1.267,2,0.8,0.533,1.933,3
"BEES",3.647,0.059,1.824,0.647,0.118,4.529
"BEESTINGS",0.667,0,3.889,3.167,0.056,3
"BEESWAX",0.176,0.824,1.882,0,1.235,3.471
"BEET",0.062,3.562,2.125,0.812,2.062,2.938
"BEETLE",1.421,0.263,2.526,0.421,0.474,4.421
"BEFALL",0.786,0,0.429,0.643,0,1.857
"BEFITTING",1.692,0.231,0.769,0.615,0,2.692
"BEFITTINGLY",0.583,0.167,0.75,0.667,0.25,1.75
"BEFORE",1.059,0.294,0.412,0.588,0.294,1.588
"BEFOREHAND",0.7,0.3,0.45,0.85,0.3,1.2
"BEFORETIME",0.75,0.188,0.125,1.25,0.25,1.062
"BEFOUL",1.583,1.167,0.75,1.167,2,2.833
"BEFRIEND",2.647,0,0.294,1.647,0,2.941
"BEFUDDLE",1.706,0.059,0,1.471,0,1.471
"BEFUDDLED",3.25,0,0.188,1.875,0,3.25
"BEFUDDLEMENT",2.125,0.188,0.375,1.625,0.188,2.5
"BEG",3.842,0,0.105,0.526,0.053,3.368
"BEGET",0.846,0.077,0.769,1.462,0.077,1.615
"BEGGAR",3.059,0,0.412,0.059,0.941,4.176
"BEGGING",3.5,0.312,0.625,0.5,0.375,3.5
"BEGIN",1.647,0,0.647,0.471,0.059,2
"BEGINNER",1.353,0,0.176,1.353,0.059,1.824
"BEGINNING",1.947,0.474,0.474,1.158,0.158,2.263
"BEGONE",1.5,0,0.25,0.583,0,2
"BEGRUDGE",1.5,0.429,0.357,3.214,0.214,1.571
"BEGRUDGINGLY",1.824,0.235,0.588,1.824,0.235,1.941
"BEGUILE",1.933,0.2,0.667,1.533,0.2,2.733
"BEGUILING",2.1,0.2,0.4,1.6,0.4,3.5
"BEGUN",1.25,0.15,0.4,1.2,0.2,1.9
"BEHALF",2.059,0,0.235,0.588,0,2.059
"BEHAVE",2.882,0,0.176,1.412,0,3.824
"BEHAVIOR",2.55,0.05,0.55,1.6,0.2,3.95
"BEHAVIORAL",2.5,0.5,0.389,1.444,0.389,3
"BEHAVIORISM",2.133,0,0.4,1,0,3.4
"BEHAVIORIST",3,0.429,0.286,0.929,0.5,2.786
"BEHEAD",1.056,0.111,1.556,1.5,0.333,3.278
"BEHELD",1.235,0.235,0.412,0.824,0.059,2.882
"BEHEMOTH",1.429,0.163,1,0.837,0.449,3.592
"BEHIND",0.947,0.105,1,1.053,0.368,3.526
"BEHOLD",0.625,0,0.312,0.375,0,3.125
"BEHOLDEN",2.176,0.941,1.706,2.412,0.941,2.294
"BEHOLDER",1.4,0.25,0.55,0.45,0.25,2.75
"BEHOLDING",1.267,0.133,0.667,0.733,0.267,2.933
"BEHOOVE",1.833,0.083,0.75,1.75,0.083,2.5
"BEHOOVES",0.941,0.059,0.059,0.647,0.059,1.471
"BEIGE",0.333,0.167,0.556,0.278,0.111,4.389
"BEING",2,1.737,2.211,3.211,1.842,2.737
"BEJEWEL",0.5,0,2.625,0.188,0,4.438
"BELATED",1.765,0,0.353,1.471,0,1.529
"BELATEDLY",1.133,0,0,0.933,0,1.8
"BELATEDNESS",2.688,0.125,0.25,0.375,0,2.75
"BELCH",4.263,1.895,0.579,2.474,1.947,2.263
"BELIEF",1.371,0,0.086,3.257,0,1.086
"BELIEVABILITY",2.556,0,0.056,1.722,0,2.556
"BELIEVABLE",2.9,0.2,0.25,2.05,0,2.65
"BELIEVE",1.5,0.278,0.333,2.278,0.222,1.944
"BELIEVER",2.444,0,0.389,1.333,0,2.778
"BELIEVING",2.632,0.684,0.579,3.895,0.632,2.053
"BELIEVINGLY",1.619,0.095,0.619,2.429,0.19,1.429
"BELITTLE",3.706,0.118,0.294,1.882,0.118,2.882
"BELITTLEMENT",2.684,0,0.263,2.105,0,2.053
"BELL",4.056,0.056,1.389,0.611,0.056,2.778
"BELL PEPPER",0.222,4.222,2.833,0.889,2.5,4.333
"BELL TOWER",4.167,0,1.667,0.278,0.167,4.167
"BELLBOY",2.529,0,0.559,0.176,0.176,4.059
"BELLE",1.583,0.167,1.833,0.5,0.417,3.833
"BELLFLOWER",0.467,0.133,1.667,0.533,2,3.933
"BELLHOP",2.778,0.167,1,0.167,0.333,4.278
"BELLIGERENCE",3.714,0,0,1.857,0,3.5
"BELLIGERENCY",3.714,0,0.071,1.643,0,3.571
"BELLIGERENT",3,0,0.056,1.833,0,2.611
"BELLMAN",2.273,0,0.667,0.03,0.121,4.061
"BELLOW",3.733,0.133,0.2,0.333,0,1.533
"BELLY",1.158,0.421,3.211,1.211,0.105,4.105
"BELLY DANCER",2.15,0.25,0.8,0.95,0.55,4.2
"BELLY DANCING",1.722,0.111,0.889,1.167,0.167,4.056
"BELLYACHE",0.25,0.125,0.812,4.812,0.062,0.312
"BELLYBUTTON",0,0,3.158,0.526,0.263,3.579
"BELLYFUL",0.278,0.611,0.944,4,0.222,1.333
"BELONG",1.526,0.211,0.632,2.632,0.474,2.421
"BELONG TO",1.588,0.118,0.706,1.706,0.118,1.765
"BELONGING",0.474,0,0.526,3.105,0,1.684
"BELONGINGS",1.05,0.55,3.15,0.9,1,3.95
"BELOVED",1.882,0.235,1.824,3.059,0.294,2.412
"BELOW",1,0,1.389,0.5,0,3.333
"BELOWGROUND",0.647,0,1.176,0.294,0.588,3.647
"BELT",0.333,0.167,3.278,0.333,0.333,4
"BELT BUCKLE",0.762,0,4.143,0.143,0,4.381
"BELTED",0.65,0,1.45,0.45,0,2.85
"BELTING",2,0.158,1.211,0.316,0.105,2.474
"BELTLESS",0.353,0,2.176,0.412,0,3.294
"BELTLINE",0.2,0,1.933,0.667,0,3.4
"BELTWAY",1.529,0,0.412,0.294,0.118,3.176
"BELUGA",2.176,0.882,1.412,0.353,0.765,3.471
"BEMUSE",2.417,0.25,0.25,1.75,0.083,1.583
"BEMUSEDLY",0.917,0.083,0,1.833,0,1.5
"BENCH",0.316,0,3.316,0.158,0.211,3.895
"BENCHING",1.118,0.235,1.882,1.353,0.294,2.824
"BENCHMARK",1.667,0.111,0.889,0.333,0.056,3.278
"BENCHMARKING",1.941,0.176,0.588,0.471,0.176,3.059
"BENCHWARMER",0.611,0,0.167,0.278,0,3.5
"BEND",1.2,0.15,2.85,1.7,0.15,3.85
"BENDABLE",0.471,0,3.294,0.588,0.059,3.176
"BENDED",0.889,0,2.167,0.722,0,2.722
"BENDER",1.125,0.688,0.625,1.812,0.438,2.75
"BENDING",1.062,0,2.75,2.062,0,4.438
"BENDY",0.4,0.1,2.85,1.15,0,3.8
"BENEATH",0.65,0.05,1.3,0.7,0.25,3.4
"BENEDICTION",3.083,0.083,0.083,1.917,0,2.167
"BENEFACTOR",1.265,0.147,0.353,0.5,0.147,1.912
"BENEFICENTLY",1.947,0.474,0.474,1.737,0.421,2.526
"BENEFICIAL",1.6,0.65,1,1.95,0.55,1.75
"BENEFICIALLY",1.067,0.333,0.267,1.133,0.267,1.4
"BENEFICIARY",1.3,0,0.05,0.8,0,2.5
"BENEFICIATE",1.8,0.9,1.2,0.4,0.9,2
"BENEFIT",1.579,0.421,0.684,1.158,0.368,2.158
"BENEFITER",1.622,0.189,0.459,0.649,0.054,2.432
"BENEVOLENCE",1.933,0.533,0.933,1.667,0.4,2.8
"BENEVOLENT",1.611,0,0.111,1.889,0,2.222
"BENEVOLENTLY",2,0.417,1,1.333,0.583,2.417
"BENIGN",0.389,0,0.389,1.556,0.111,1.556
"BENIGNLY",0.75,0.333,0.333,1.5,0,0.417
"BENT",0.5,0,2.95,0.8,0,4.45
"BEQUEATH",1.231,0,1.308,0.462,0.077,2.385
"BERATE",4.316,0,0.211,1.526,0,2.421
"BEREAVE",1.379,0.034,0.621,3.897,0.103,1.793
"BEREAVED",0.929,0.071,0.071,2.857,0,1.143
"BEREAVEMENT",2.824,0.059,0.353,2.588,0.118,4.118
"BERET",0.154,0,2,0,0.154,4.385
"BERRY",0.111,4,2.556,0.278,2.056,3.556
"BERRYLESS",0.222,1.167,1.222,0.389,0.833,3.611
"BERRYLIKE",0.188,3.188,1.562,0.5,1.75,3.062
"BERSERK",2.294,0,0.235,1.412,0,2.941
"BESEECHING",2.273,0,0,0.091,0,1
"BESEECHINGLY",2.429,0,0.071,0.571,0,1.214
"BESIDE",0.579,0,1.211,0.158,0.211,4.053
"BESIDES",0.676,0.059,0.853,0.941,0.412,1.618
"BESIEGE",2.25,0.375,1.062,0.812,0.562,2.938
"BESIEGED",1.778,0,0.889,0.722,0.056,2.611
"BESIEGEMENT",1.583,0,0.333,0.917,0,1.5
"BESPECTACLED",0.364,0.273,0.727,0.909,0.182,3.636
"BESPOKE",1.643,0.071,0.643,0.357,0,1.714
"BESPOKEN",2.273,0,0.273,0.273,0,1.455
"BEST",1.5,0.85,0.95,2.2,0.8,2.15
"BEST FRIEND",3.211,0,1.474,1.737,0.474,3.632
"BEST MAN",2.667,0,0.833,0.667,0.278,3.611
"BEST SELLER",2.571,0.143,1.19,0.095,0.095,4.286
"BEST SELLING",1.488,0.366,0.463,0.512,0.268,2.829
"BESTIALITY",1.778,0.167,1.444,1.389,0.444,2.889
"BESTOW",1.8,0,0.35,0.4,0,2.2
"BESTOWAL",1.833,0.5,0.917,0.833,0.5,2.333
"BESTOWING",1.615,0.077,0.154,1.615,0.077,2.923
"BESTSELLER",2.211,0.053,0.474,0.211,0.053,3.211
"BESTSELLING",2.105,0.263,0.421,0.579,0.368,3.053
"BET",2.474,0.211,0.579,1.105,0.263,2.632
"BETA",1.5,0.278,0.278,0.111,0.056,2.444
"BETRAY",2.95,0,0.35,2.05,0,3.45
"BETRAYAL",1.824,0,0.059,1.765,0,2.882
"BETRAYER",3.333,0.167,0.944,1.667,0.278,3.611
"BETROTHAL",1.6,0,0.533,0.867,0.067,2.467
"BETROTHED",1.417,0.083,0.417,1.5,0.333,1.5
"BETTER",1.706,0.706,1,2.118,0.765,2.294
"BETTER OFF",1.833,0.278,0.389,2.333,0.278,2.444
"BETTERING",1.333,0.111,1,1.667,0.222,1.778
"BETTING",1.868,0.026,0.921,1.158,0.132,3.289
"BETWEEN",0.688,0.188,0.688,0.375,0.188,2.938
"BEVEL",0.091,0,2.455,0.455,0,2.636
"BEVERAGE",0.7,4.2,2.4,1.35,2.9,3.95
"BEWARE",2.647,0.471,0.647,2.765,0.529,2.941
"BEWILDER",1.455,0.045,0.318,2.864,0.045,1.773
"BEWILDERED",1.588,0.176,0.176,3.176,0.294,2.294
"BEWILDEREDLY",2.688,0.312,0.625,2.125,0.438,2.938
"BEWILDERING",1.947,0.316,0.421,2.526,0.316,1.947
"BEWILDERINGLY",1.2,0,0.15,2.85,0,1.6
"BEWILDERMENT",1.952,0.19,0.381,2.476,0.286,2.762
"BEWITCH",1.353,0.059,0.294,2.294,0.059,2.059
"BEWITCHER",1.667,0,0.083,0.25,0,2.5
"BEWITCHERY",2.118,0,0.529,1.176,0.059,3
"BEWITCHING",1.529,0.176,0.176,1.588,0.235,2.529
"BEWITCHINGLY",2.133,0.4,0.533,1.267,0.8,2.733
"BEWITCHMENT",2.462,0.077,0.308,1.846,0.077,2.923
"BEYOND",1.619,0.619,1,1.429,0.524,2.762
"BIANNUAL",1.196,0.321,0.357,0.714,0.304,1.696
"BIANNUALLY",1,0,0.188,0.688,0,2.438
"BIAS",2.235,0.059,0.294,1.294,0.353,1.941
"BIASED",2.833,0.222,0.389,1.333,0.167,2.444
"BIB",0.056,0,2,0,0.222,3.167
"BIBLE",1.571,0.048,2.429,0.429,0.238,3.952
"BIBLICAL",2.222,0,0.556,0.611,0.056,2.167
"BIBLICALLY",2.357,0.214,1,1.357,0,2.714
"BIBLIOGRAPHER",2.471,0,0.765,0.176,0,3.412
"BIBLIOGRAPHIC",1.552,0.069,0.552,0.483,0.138,2.621
"BIBLIOGRAPHICAL",1.643,0.143,0.214,0.357,0.286,2.571
"BIBLIOGRAPHICALLY",2.056,0.333,0.5,0.278,0.167,3.833
"BIBLIOGRAPHY",1.4,0,0.5,0.3,0,3.35
"BICARBONATE",1.364,1.818,1.909,1.091,2.182,3.455
"BICENTENNIAL",1.647,0.118,0.235,0.706,0.118,1.706
"BICEP",0.312,0,3.125,1,0,3.5
"BICEPS",0.263,0.263,3.579,1.474,0.316,4.263
"BICKER",4.15,0,0.3,1.15,0.1,2.95
"BICKERER",3.824,0,0.176,0.471,0,1.765
"BICULTURAL",1.765,0.118,0.235,0.471,0.118,2.118
"BICUSPID",0.5,0.062,2,1.062,0,3.25
"BICYCLE",1.25,0.15,3.25,0.95,0.2,3.7
"BICYCLE RACE",1.556,0,0.056,0.222,0,3.722
"BICYCLER",1.353,0.176,1.588,0.294,0.059,3.882
"BICYCLIST",2.5,0.111,1.333,0.778,0.444,4.611
"BID",2.625,0,0.125,0.188,0.062,2.125
"BIDDER",3,0.05,0.65,0.3,0.2,2.6
"BIDDING",2.882,0.059,0.176,0.647,0.059,2.471
"BIDDY",1.867,0,0,0.333,0.133,2
"BIDE",0.769,0,0.385,1.231,0,1.769
"BIDING",1.133,0.067,0.133,1.267,0.067,1.6
"BIDIRECTIONAL",1,0.143,0.714,0.214,0.286,2.214
"BIFOCAL",0.107,0,1.036,0.536,0,3.857
"BIFOCALS",0,0,1.529,0.059,0,4.471
"BIG",0.944,0.167,2.722,0.333,0.111,3.889
"BIG BANG",2.5,0.444,0.667,0.944,0.444,2.667
"BIG BROTHER",3.118,0,1.588,1.059,0.353,4.235
"BIG BUCKS",0.684,0,2.053,1,0.211,4.105
"BIG BUSINESS",2,0,0.188,0.562,0,3.625
"BIG DEAL",2.278,0.056,0.111,0.667,0.056,2.333
"BIG DIPPER",0.118,0.059,0.059,0.059,0.059,3.882
"BIG MONEY",1.263,0,1.211,0.684,0.632,3.105
"BIG SHOT",2.611,0.056,0.333,1.111,0.056,3.444
"BIG SPENDER",1.412,0,0.412,0.118,0.118,3.176
"BIG TOE",0.2,0.15,2.55,0.95,0.4,4.1
"BIG WHEEL",0.958,0,1.708,0.167,0,4.333
"BIGAMIST",2.733,0.067,0.6,0.667,0.2,3.6
"BIGAMY",1.933,0.2,0.467,1.2,0.133,1.867
"BIGGER",0.55,0,2,0.2,0,4.35
"BIGGEST",1.167,0.333,2.222,1,0,4.222
"BIGGIE",1.429,0.143,0.714,0.643,0.143,2.214
"BIGHEADED",2.176,0.412,0.824,1.353,0.353,2.882
"BIGHEARTED",0.944,0,0.111,2.444,0,1.778
"BIGHEARTEDNESS",1.737,0.263,0.632,2.737,0.263,2.842
"BIGMOUTH",4.625,0,0.25,0.688,0.125,2.812
"BIGMOUTHED",4.45,0,0.2,0.6,0.2,2.1
"BIGNESS",0.882,0.059,2.882,0.588,0.059,4.118
"BIGOT",3.125,0.25,0.438,1.312,0.188,2.625
"BIGOTED",3.5,0.05,0.05,2.05,0,3.35
"BIGOTRY",3.842,0.053,0.263,1.947,0,4.263
"BIGWIG",1.889,0,0.111,0,0,2.278
"BIHOURLY",0.938,0,0.062,0.688,0,1.875
"BIKE",1.8,0.2,2.35,0.5,0.3,4.05
"BIKER",2.368,0.421,1.316,0.632,0.947,3.842
"BIKINI",0.176,0.235,1.941,0.647,0.294,4.471
"BIKINI LINE",0.278,0.222,1.444,0.722,0.056,4.444
"BILATERAL",0.583,0.25,0.5,0.667,0.333,1.833
"BILATERALLY",0.929,0,0.786,0.429,0,2.714
"BILE",0.278,1.722,0.222,1.944,1.278,2.167
"BILINEAR",0.6,0.2,1.133,0.267,0.2,2.733
"BILINGUAL",3.611,0,0.056,0.056,0,1.278
"BILINGUALISM",3.875,0.156,0,0.438,0,1.188
"BILINGUALLY",4.118,0.235,0.176,0.529,0.118,1.471
"BILL",0.947,0.053,1.842,0.368,0.053,3.895
"BILLBOARD",0.235,0.059,0.294,0.059,0.059,4.588
"BILLED",0.684,0.053,0.526,0.421,0.053,3.526
"BILLFOLD",0.263,0,3.053,0.263,0.368,3.579
"BILLIARD",1.688,0,2.25,0.125,0.25,3.125
"BILLIARDS",1.765,0,2.235,0.059,0.059,3.353
"BILLING",0.895,0,0.789,0.105,0,3.158
"BILLION",0.842,0,0.105,0.053,0,2.211
"BILLIONAIRE",0.941,0,0.118,0.118,0.059,2.353
"BILLON",0.947,0,0.105,0.526,0,1.526
"BILLOWY",0.818,0,1.909,0.364,0.182,3.636
"BIMBO",1.882,0.353,1.118,0.765,0.765,3.882
"BIMOLECULAR",0.643,0.429,0.571,1.143,0.571,2.929
"BIMONTHLY",0.571,0,0.095,0.571,0,1.333
"BIN",0.875,0,2.312,0.125,0.5,3.938
"BINARY",0.938,0.094,0.344,0.219,0.094,3.219
"BIND",0.556,0,2.722,1.278,0,2.833
"BINDER",0.833,0.278,3.389,0.444,0.333,3.611
"BINDING",0.611,0,1.5,0.556,0,2.611
"BINGE",1.056,1.889,0.778,2.167,0.167,2.833
"BINGE DRINKING",1.5,3.25,0.688,3.125,1.688,3.75
"BINGO",3.133,0.267,1.667,0.933,0.2,3
"BINOCULAR",0.333,0.056,1.389,0.167,0.111,4.5
"BINOCULARS",0,0.053,1.947,0,0.053,4.263
"BINOMIAL",1.286,0,0.071,0.214,0,2.857
"BIO",0.737,0.211,0.421,0.737,0.526,1.421
"BIOACTIVE",0.688,0.125,0.188,0.75,0.25,1.938
"BIOCHEMICAL",0.81,0.762,0.476,0.619,1,1.571
"BIOCHEMICALLY",1.25,0.375,0.438,0.812,0.5,2.062
"BIOCHEMIST",1.838,0.027,0.757,0.243,0.568,3.324
"BIOCHEMISTRY",1.105,0.368,0.684,0.684,0.368,3.842
"BIOCHIP",1,0,1.286,0.786,0,3.143
"BIODEGRADABLE",0.526,0.105,0.579,0.263,0.474,2.632
"BIODIVERSITY",1.105,0.211,0.421,0.211,0.368,2.421
"BIOELECTRICITY",0.857,0.357,1.143,1.714,0.429,1
"BIOFUEL",0.294,0.471,0.765,0.294,1.824,2.412
"BIOGENETIC",0.667,0.333,0.25,1,0.417,0.917
"BIOGENETICALLY",0.867,0.2,0.267,0.2,0.133,2.533
"BIOGENETICS",0.857,0,0.071,0.357,0,1.571
"BIOGRAPHER",2.176,0.294,0.882,0.647,0.353,3.588
"BIOGRAPHIC",3.056,0.111,0.611,1.111,0.167,3.278
"BIOGRAPHICAL",1.353,0.059,0.118,0.529,0.059,2.353
"BIOGRAPHICALLY",2.086,0.029,0.143,0.057,0.057,2.514
"BIOGRAPHY",2.211,0,0.368,0.105,0,2.947
"BIOHAZARD",1.389,0.667,1.167,1.833,2.944,3.833
"BIOLOGIC",1.538,1.308,1.923,1.846,1.385,2.077
"BIOLOGICAL",1.062,0.562,1.438,2.062,0.688,2.438
"BIOLOGICAL CLOCK",0.35,0,0.2,3.1,0,0.55
"BIOLOGICALLY",0.95,0.25,0.4,1.85,0.5,2.25
"BIOLOGIST",2.211,0.211,0.895,0.316,0.263,3.421
"BIOLOGY",2.176,0.941,2,2.235,1.588,3.059
"BIOLUMINESCENCE",0.133,0,0,0.133,0.133,4.933
"BIOLUMINESCENT",0,0,0,0.308,0,4.462
"BIOMATHEMATICS",1,0,0,0.083,0,1.667
"BIOMECHANICAL",1.143,0,1.786,0.643,0,2.929
"BIOMECHANICS",1.294,0.029,0.559,0.471,0.059,2.647
"BIOMEDICAL",1.263,0.053,1,0.789,0.263,2.737
"BIOMETRICAL",0.714,0,0.357,0.571,0,1.929
"BIOMETRICALLY",0.583,0.083,1.5,0.917,0,1.917
"BIONIC",1.053,0,1.368,0.684,0,3.211
"BIOPHARMACEUTICAL",0.917,0.917,0.583,1.167,0.5,0.75
"BIOPHYSICAL",1,0.765,1.412,1.588,0.882,2.235
"BIOPHYSICIST",1.105,0,0.579,0.053,0.263,2.632
"BIOPHYSICS",2.059,0.294,0.706,0.882,0.412,2.765
"BIOPSY",0.263,0,2.211,1.526,0.263,3.316
"BIOREACTOR",0.923,0.077,1.154,0.154,0.692,2.154
"BIORHYTHM",0.769,0.385,0.615,2.615,0.385,1.538
"BIOS",0.923,0,0,0,0.077,3.231
"BIOSENSOR",1.071,0.214,1.286,0.5,0.286,2.357
"BIOSPHERE",2.067,1,1.8,1.267,1.667,3.4
"BIOSTATISTICS",1.2,0,0,0.067,0,2.933
"BIOSYNTHESIS",0.929,0.143,0.429,0.929,0.214,2.786
"BIOSYNTHETIC",0.6,0.65,1,0.3,0.55,2.15
"BIOTECH",1.353,0.294,1.176,0.471,0.647,2.765
"BIOTECHNOLOGY",1.2,0.05,0.65,0.5,0.25,3.2
"BIPARTISAN",1.471,0.176,0.118,0.412,0.059,1.824
"BIPARTISANSHIP",3.417,0,0,1,0,3.25
"BIPEDAL",0.692,0.077,1.231,1.154,0,3.692
"BIPOLAR",1.158,0.158,0.105,3.158,0.158,1.421
"BIPOLARITY",1.714,0,0.5,2.143,0,2.929
"BIRACIAL",0.611,0,0.111,0.278,0,3.278
"BIRCH",0.231,0.154,1.846,0,1.308,3.846
