concept,domain,subtype,source_dataset,notes,polysemy_risk,image_source,image_quality_flag,human_anchor_available
anvil,sensory,tool,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
appetizer,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
apple,sensory,"food, fruit",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
apple_tree,sensory,plant,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
applesauce,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
apron,sensory,clothing,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
aquarium,sensory,"home decor, container",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
arch,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
arm,sensory,body part,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
armor,sensory,clothing,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
arrow,sensory,weapon,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
artichoke,sensory,"plant, food, vegetable",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
arugula,sensory,"plant, food, vegetable",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
ashtray,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
asparagus,sensory,"plant, food, vegetable",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
avocado,sensory,"food, fruit",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
awning,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
axe,sensory,"weapon, tool",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
baby,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
backdrop,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
backgammon,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
backpack,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
backscratcher,sensory,tool,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bacon,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
badge,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
badger,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bag,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bagel,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bagpipe,sensory,musical instrument,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
baklava,sensory,"food, dessert",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
balance_beam,sensory,sports equipment,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
ball,sensory,"toy, sports equipment",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
balloon,sensory,toy,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
ballot_box,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bamboo,sensory,plant,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
banana,sensory,"food, fruit",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
banana_peel,sensory,#N/A,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
banana_split,sensory,"food, dessert",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bandage,sensory,medical equipment,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bandanna,sensory,"clothing, clothing accessory",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
banjo,sensory,musical instrument,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bank,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
banner,sensory,decoration,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
barbed_wire,sensory,#N/A,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
barbell,sensory,sports equipment,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
barcode,sensory,#N/A,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bark,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
barnacle,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
barrel,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
barrette,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
baseball,sensory,sports equipment,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
baseball_bat,sensory,"weapon, sports equipment",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
baseball_glove,sensory,sports equipment,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
basil,sensory,"plant, food",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
basket,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
basketball,sensory,sports equipment,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
basketball_hoop,sensory,sports equipment,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bassinet,sensory,furniture,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bassoon,sensory,musical instrument,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bat1,sensory,animal,things,THINGS archive exact overlap with local image support,medium,things_archive,good,yes
bat2,sensory,"weapon, sports equipment",things,THINGS archive exact overlap with local image support,medium,things_archive,good,yes
bathmat,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bathrobe,sensory,clothing,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bathtub,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
baton1,sensory,Noun,things,THINGS archive exact overlap with local image support,high,things_archive,good,yes
baton2,sensory,weapon,things,THINGS archive exact overlap with local image support,high,things_archive,good,yes
baton3,sensory,sports equipment,things,THINGS archive exact overlap with local image support,high,things_archive,good,yes
baton4,sensory,sports equipment,things,THINGS archive exact overlap with local image support,high,things_archive,good,yes
batter,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
battery,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bazooka,sensory,weapon,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
beachball,sensory,"toy, sports equipment",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bead,sensory,decoration,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
beaker,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bean,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
beanbag,sensory,furniture,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
beanie,sensory,clothing,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bear,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
beard,sensory,body part,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
beaver,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bed,sensory,furniture,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bedpan,sensory,"medical equipment, container",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bedpost,sensory,furniture,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bee,sensory,"animal, insect",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
beehive,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
beer,sensory,drink,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
beet,sensory,"food, vegetable",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
beetle,sensory,"animal, insect",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bell,sensory,musical instrument,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bell_pepper,sensory,"food, vegetable",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
belt,sensory,"clothing, clothing accessory",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
belt_buckle,sensory,clothing accessory,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bench,sensory,furniture,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
berry,sensory,"food, fruit",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bib,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bike,sensory,vehicle,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bikini,sensory,clothing,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bin,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
binder,sensory,office supply,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
binoculars,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bird,sensory,"animal, bird",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
birdbath,sensory,"home decor, container",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
birdcage,sensory,"home decor, container",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
birdhouse,sensory,home decor,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
birthday_cake,sensory,"food, dessert",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
biscuit,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bison,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
blackberry,sensory,"food, fruit",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
blanket,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
blazer,sensory,clothing,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
blender,sensory,"electronic device, kitchen appliance",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
blimp,sensory,vehicle,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
blind,sensory,Adjective,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
blinder,sensory,Adjective,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
blindfold,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
block,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
blouse,sensory,clothing,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
blower,sensory,"electronic device, tool",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
blowfish,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
blowgun,sensory,weapon,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
blowtorch,sensory,"weapon, tool",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
blueberry,sensory,"food, fruit",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
boa,sensory,"clothing, clothing accessory",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
boar,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
board,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
board_game,sensory,#N/A,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
boat,sensory,vehicle,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bobsled,sensory,sports equipment,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bok_choy,sensory,"plant, food, vegetable",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bolo_tie,sensory,"clothing, clothing accessory",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bologna,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bolt,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bomb,sensory,weapon,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bone,sensory,body part,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bongo,sensory,musical instrument,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bonnet,sensory,"clothing, clothing accessory",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bonsai,sensory,"home decor, plant",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
book,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bookmark,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bookshelf,sensory,furniture,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
boomerang,sensory,"weapon, toy",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
boot,sensory,clothing,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bottle,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bottle_opener,sensory,"kitchen tool, tool",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
boulder,sensory,Name,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bouquet,sensory,decoration,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bow1,sensory,"clothing, clothing accessory",things,THINGS archive exact overlap with local image support,medium,things_archive,good,yes
bow2,sensory,weapon,things,THINGS archive exact overlap with local image support,medium,things_archive,good,yes
bow3,sensory,decoration,things,THINGS archive exact overlap with local image support,medium,things_archive,good,yes
bowl,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bowler_hat,sensory,clothing,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bowling_ball,sensory,sports equipment,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bowtie,sensory,"clothing, clothing accessory",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
box,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
boxer_shorts,sensory,clothing,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
boxing_gloves,sensory,sports equipment,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
boy,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bra,sensory,clothing,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
brace,sensory,medical equipment,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bracelet1,sensory,"clothing, clothing accessory",things,THINGS archive exact overlap with local image support,medium,things_archive,good,yes
bracelet2,sensory,clothing accessory,things,THINGS archive exact overlap with local image support,medium,things_archive,good,yes
bracket,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
braid,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
brake,sensory,part of car,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
branch,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
brass_knuckles,sensory,weapon,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bread,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
breadbox,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
breadstick,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
breakfast,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
breathalyzer,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
brick,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
briefcase,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
broccoli,sensory,"plant, food, vegetable",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
brooch,sensory,clothing accessory,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
broom,sensory,tool,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
brownie,sensory,"food, dessert",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
brush,sensory,tool,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
brussels_sprouts,sensory,"food, vegetable",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bubble,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bubble_wrap,sensory,#N/A,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bucket,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
buckle,sensory,clothing accessory,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
buffet,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bug,sensory,"animal, insect",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
buggy,sensory,vehicle,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bull,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bulldozer,sensory,vehicle,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bullet,sensory,weapon,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bulletin_board,sensory,#N/A,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bulletproof_vest,sensory,clothing,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bumper,sensory,part of car,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bun,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bungee,sensory,"tool, sports equipment",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bunkbed,sensory,furniture,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
buoy,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
burner,sensory,kitchen appliance,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
burrito,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bus,sensory,vehicle,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
bush,sensory,plant,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
butter,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
butterfly,sensory,"animal, insect",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
button1,sensory,clothing accessory,things,THINGS archive exact overlap with local image support,medium,things_archive,good,yes
button2,sensory,Noun,things,THINGS archive exact overlap with local image support,medium,things_archive,good,yes
cabbage,sensory,"plant, food, vegetable",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cabinet,sensory,"furniture, container",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cable,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cactus,sensory,plant,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cage,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cake,sensory,"food, dessert",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cake_mix,sensory,"food, dessert",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
calamari,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
calculator,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
calf1,sensory,animal,things,THINGS archive exact overlap with local image support,medium,things_archive,good,yes
calf2,sensory,body part,things,THINGS archive exact overlap with local image support,medium,things_archive,good,yes
calzone,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
camcorder,sensory,electronic device,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
camel,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
camera_lens,sensory,#N/A,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
camera1,sensory,electronic device,things,THINGS archive exact overlap with local image support,medium,things_archive,good,yes
camera2,sensory,electronic device,things,THINGS archive exact overlap with local image support,medium,things_archive,good,yes
camper,sensory,vehicle,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
can,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
can_opener,sensory,"kitchen tool, tool",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
candelabra,sensory,home decor,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
candle,sensory,home decor,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
candlestick,sensory,home decor,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
candy,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
candy_bar,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
candy_cane,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cane,sensory,medical equipment,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
canister,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cannon,sensory,weapon,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cannonball,sensory,weapon,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
canoe,sensory,vehicle,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cantaloupe,sensory,"food, fruit",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
canvas,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cap,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cape,sensory,clothing,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
car,sensory,vehicle,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
car_door,sensory,part of car,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
car_seat,sensory,part of car,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
caramel,sensory,"food, dessert",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
card,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cardboard,sensory,Adjective,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cardigan,sensory,clothing,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cardinal,sensory,"animal, bird",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
carousel,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
carriage,sensory,vehicle,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
carrot,sensory,"food, vegetable",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cart,sensory,vehicle,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cash_machine,sensory,electronic device,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cash_register,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cashew,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
casserole,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cassette,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cat,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
catapult,sensory,weapon,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
caterpillar,sensory,"animal, insect",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
catfish,sensory,"animal, food",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cauliflower,sensory,"food, vegetable",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
caviar,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cd_player,sensory,electronic device,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
celery,sensory,"food, vegetable",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cello,sensory,musical instrument,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cellphone,sensory,electronic device,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cement_mixer,sensory,#N/A,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
centerpiece,sensory,home decor,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
centrifuge,sensory,electronic device,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cereal,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
chain,sensory,tool,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
chainsaw,sensory,"electronic device, weapon, tool",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
chair,sensory,furniture,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
chalice,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
chalk,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
chalkboard,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
champagne,sensory,drink,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
chandelier,sensory,home decor,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
chaps,sensory,clothing,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
charcoal,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
charger,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
chariot,sensory,vehicle,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
checkbook,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
checkers,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cheese,sensory,"food, dessert",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cheeseburger,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cheesecake,sensory,"food, dessert",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cheetah,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
cherry,sensory,"food, fruit",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
chess_piece,sensory,#N/A,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
chessboard,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
chest1,sensory,body part,things,THINGS archive exact overlap with local image support,medium,things_archive,good,yes
chest2,sensory,"furniture, container",things,THINGS archive exact overlap with local image support,medium,things_archive,good,yes
