concept,subtype,matched_image,degraded_image,status,source_kind,notes
blouse,clothing,data/images/things_max/blouse.jpg,data/images/things_max/degraded/blouse.png,ready,things_archive,THINGS archive image and degraded derivative available
blower,"electronic device, tool",data/images/things_max/blower.jpg,data/images/things_max/degraded/blower.png,ready,things_archive,THINGS archive image and degraded derivative available
blowfish,animal,data/images/things_max/blowfish.jpg,data/images/things_max/degraded/blowfish.png,ready,things_archive,THINGS archive image and degraded derivative available
blowgun,weapon,data/images/things_max/blowgun.jpg,data/images/things_max/degraded/blowgun.png,ready,things_archive,THINGS archive image and degraded derivative available
blowtorch,"weapon, tool",data/images/things_max/blowtorch.jpg,data/images/things_max/degraded/blowtorch.png,ready,things_archive,THINGS archive image and degraded derivative available
blueberry,"food, fruit",data/images/things_max/blueberry.jpg,data/images/things_max/degraded/blueberry.png,ready,things_archive,THINGS archive image and degraded derivative available
boa,"clothing, clothing accessory",data/images/things_max/boa.jpg,data/images/things_max/degraded/boa.png,ready,things_archive,THINGS archive image and degraded derivative available
boar,animal,data/images/things_max/boar.jpg,data/images/things_max/degraded/boar.png,ready,things_archive,THINGS archive image and degraded derivative available
board,Noun,data/images/things_max/board.jpg,data/images/things_max/degraded/board.png,ready,things_archive,THINGS archive image and degraded derivative available
board_game,#N/A,data/images/things_max/board_game.jpg,data/images/things_max/degraded/board_game.png,ready,things_archive,THINGS archive image and degraded derivative available
boat,vehicle,data/images/things_max/boat.jpg,data/images/things_max/degraded/boat.png,ready,things_archive,THINGS archive image and degraded derivative available
bobsled,sports equipment,data/images/things_max/bobsled.jpg,data/images/things_max/degraded/bobsled.png,ready,things_archive,THINGS archive image and degraded derivative available
bok_choy,"plant, food, vegetable",data/images/things_max/bok_choy.jpg,data/images/things_max/degraded/bok_choy.png,ready,things_archive,THINGS archive image and degraded derivative available
bolo_tie,"clothing, clothing accessory",data/images/things_max/bolo_tie.jpg,data/images/things_max/degraded/bolo_tie.png,ready,things_archive,THINGS archive image and degraded derivative available
bologna,food,data/images/things_max/bologna.jpg,data/images/things_max/degraded/bologna.png,ready,things_archive,THINGS archive image and degraded derivative available
bolt,Noun,data/images/things_max/bolt.jpg,data/images/things_max/degraded/bolt.png,ready,things_archive,THINGS archive image and degraded derivative available
bomb,weapon,data/images/things_max/bomb.jpg,data/images/things_max/degraded/bomb.png,ready,things_archive,THINGS archive image and degraded derivative available
bone,body part,data/images/things_max/bone.jpg,data/images/things_max/degraded/bone.png,ready,things_archive,THINGS archive image and degraded derivative available
bongo,musical instrument,data/images/things_max/bongo.jpg,data/images/things_max/degraded/bongo.png,ready,things_archive,THINGS archive image and degraded derivative available
bonnet,"clothing, clothing accessory",data/images/things_max/bonnet.jpg,data/images/things_max/degraded/bonnet.png,ready,things_archive,THINGS archive image and degraded derivative available
bonsai,"home decor, plant",data/images/things_max/bonsai.jpg,data/images/things_max/degraded/bonsai.png,ready,things_archive,THINGS archive image and degraded derivative available
book,Noun,data/images/things_max/book.jpg,data/images/things_max/degraded/book.png,ready,things_archive,THINGS archive image and degraded derivative available
bookmark,Noun,data/images/things_max/bookmark.jpg,data/images/things_max/degraded/bookmark.png,ready,things_archive,THINGS archive image and degraded derivative available
bookshelf,furniture,data/images/things_max/bookshelf.jpg,data/images/things_max/degraded/bookshelf.png,ready,things_archive,THINGS archive image and degraded derivative available
boomerang,"weapon, toy",data/images/things_max/boomerang.jpg,data/images/things_max/degraded/boomerang.png,ready,things_archive,THINGS archive image and degraded derivative available
boot,clothing,data/images/things_max/boot.jpg,data/images/things_max/degraded/boot.png,ready,things_archive,THINGS archive image and degraded derivative available
bottle,container,data/images/things_max/bottle.jpg,data/images/things_max/degraded/bottle.png,ready,things_archive,THINGS archive image and degraded derivative available
bottle_opener,"kitchen tool, tool",data/images/things_max/bottle_opener.jpg,data/images/things_max/degraded/bottle_opener.png,ready,things_archive,THINGS archive image and degraded derivative available
boulder,Name,data/images/things_max/boulder.jpg,data/images/things_max/degraded/boulder.png,ready,things_archive,THINGS archive image and degraded derivative available
bouquet,decoration,data/images/things_max/bouquet.jpg,data/images/things_max/degraded/bouquet.png,ready,things_archive,THINGS archive image and degraded derivative available
bow1,"clothing, clothing accessory",data/images/things_max/bow1.jpg,data/images/things_max/degraded/bow1.png,ready,things_archive,THINGS archive image and degraded derivative available
bow2,weapon,data/images/things_max/bow2.jpg,data/images/things_max/degraded/bow2.png,ready,things_archive,THINGS archive image and degraded derivative available
bow3,decoration,data/images/things_max/bow3.jpg,data/images/things_max/degraded/bow3.png,ready,things_archive,THINGS archive image and degraded derivative available
bowl,container,data/images/things_max/bowl.jpg,data/images/things_max/degraded/bowl.png,ready,things_archive,THINGS archive image and degraded derivative available
bowler_hat,clothing,data/images/things_max/bowler_hat.jpg,data/images/things_max/degraded/bowler_hat.png,ready,things_archive,THINGS archive image and degraded derivative available
bowling_ball,sports equipment,data/images/things_max/bowling_ball.jpg,data/images/things_max/degraded/bowling_ball.png,ready,things_archive,THINGS archive image and degraded derivative available
bowtie,"clothing, clothing accessory",data/images/things_max/bowtie.jpg,data/images/things_max/degraded/bowtie.png,ready,things_archive,THINGS archive image and degraded derivative available
box,container,data/images/things_max/box.jpg,data/images/things_max/degraded/box.png,ready,things_archive,THINGS archive image and degraded derivative available
boxer_shorts,clothing,data/images/things_max/boxer_shorts.jpg,data/images/things_max/degraded/boxer_shorts.png,ready,things_archive,THINGS archive image and degraded derivative available
boxing_gloves,sports equipment,data/images/things_max/boxing_gloves.jpg,data/images/things_max/degraded/boxing_gloves.png,ready,things_archive,THINGS archive image and degraded derivative available
boy,Noun,data/images/things_max/boy.jpg,data/images/things_max/degraded/boy.png,ready,things_archive,THINGS archive image and degraded derivative available
bra,clothing,data/images/things_max/bra.jpg,data/images/things_max/degraded/bra.png,ready,things_archive,THINGS archive image and degraded derivative available
brace,medical equipment,data/images/things_max/brace.jpg,data/images/things_max/degraded/brace.png,ready,things_archive,THINGS archive image and degraded derivative available
bracelet1,"clothing, clothing accessory",data/images/things_max/bracelet1.jpg,data/images/things_max/degraded/bracelet1.png,ready,things_archive,THINGS archive image and degraded derivative available
bracelet2,clothing accessory,data/images/things_max/bracelet2.jpg,data/images/things_max/degraded/bracelet2.png,ready,things_archive,THINGS archive image and degraded derivative available
bracket,Noun,data/images/things_max/bracket.jpg,data/images/things_max/degraded/bracket.png,ready,things_archive,THINGS archive image and degraded derivative available
braid,Noun,data/images/things_max/braid.jpg,data/images/things_max/degraded/braid.png,ready,things_archive,THINGS archive image and degraded derivative available
brake,part of car,data/images/things_max/brake.jpg,data/images/things_max/degraded/brake.png,ready,things_archive,THINGS archive image and degraded derivative available
branch,Noun,data/images/things_max/branch.jpg,data/images/things_max/degraded/branch.png,ready,things_archive,THINGS archive image and degraded derivative available
brass_knuckles,weapon,data/images/things_max/brass_knuckles.jpg,data/images/things_max/degraded/brass_knuckles.png,ready,things_archive,THINGS archive image and degraded derivative available
bread,food,data/images/things_max/bread.jpg,data/images/things_max/degraded/bread.png,ready,things_archive,THINGS archive image and degraded derivative available
breadbox,container,data/images/things_max/breadbox.jpg,data/images/things_max/degraded/breadbox.png,ready,things_archive,THINGS archive image and degraded derivative available
breadstick,food,data/images/things_max/breadstick.jpg,data/images/things_max/degraded/breadstick.png,ready,things_archive,THINGS archive image and degraded derivative available
breakfast,food,data/images/things_max/breakfast.jpg,data/images/things_max/degraded/breakfast.png,ready,things_archive,THINGS archive image and degraded derivative available
breathalyzer,Noun,data/images/things_max/breathalyzer.jpg,data/images/things_max/degraded/breathalyzer.png,ready,things_archive,THINGS archive image and degraded derivative available
brick,Noun,data/images/things_max/brick.jpg,data/images/things_max/degraded/brick.png,ready,things_archive,THINGS archive image and degraded derivative available
briefcase,container,data/images/things_max/briefcase.jpg,data/images/things_max/degraded/briefcase.png,ready,things_archive,THINGS archive image and degraded derivative available
broccoli,"plant, food, vegetable",data/images/things_max/broccoli.jpg,data/images/things_max/degraded/broccoli.png,ready,things_archive,THINGS archive image and degraded derivative available
brooch,clothing accessory,data/images/things_max/brooch.jpg,data/images/things_max/degraded/brooch.png,ready,things_archive,THINGS archive image and degraded derivative available
broom,tool,data/images/things_max/broom.jpg,data/images/things_max/degraded/broom.png,ready,things_archive,THINGS archive image and degraded derivative available
brownie,"food, dessert",data/images/things_max/brownie.jpg,data/images/things_max/degraded/brownie.png,ready,things_archive,THINGS archive image and degraded derivative available
